,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000
307,1475,Vernay,,,,1.0,0.0009372071227741331,0.9372071227741331
308,1482,Cugy (FR),,,,,,
309,1483,"Cugy (FR), Lully (FR), Les Montets",,,,,,
310,1484,Les Montets,,,,,,
311,1485,"Nuvilly, Valbroye",,,,,,
312,1486,Vuissens,,,,,,
313,1489,Murist,,,,,,
314,1509,Vucherens,,,,,,
315,1510,"Moudon, Syens",1.0,0.000167897918065816,0.167897918065816,3.0,0.0005036937541974479,0.5036937541974479
316,1512,Chavannes-sur-Moudon,,,,,,
317,1513,"Hermenches, Rossenges, Corcelles-le-Jorat, Ropraz",,,,,,
318,1514,Bussy-sur-Moudon,,,,1.0,0.005076142131979695,5.076142131979695
319,1515,"Villars-le-Comte, Montanaire",,,,2.0,0.006756756756756757,6.756756756756757
320,1521,Curtilles,,,,,,
321,1522,"Lucens, Valbroye",,,,,,
322,1523,Valbroye,,,,2.0,0.0014716703458425313,1.4716703458425313
323,1524,Valbroye,,,,,,
324,1525,"Villeneuve (FR), Henniez, Valbroye",,,,,,
325,1526,"Cremin, Forel-sur-Lucens",,,,,,
326,1527,Villeneuve (FR),,,,,,
327,1528,Surpierre,,,,,,
328,1529,Cheiry,,,,,,
329,1530,"Rueyres-les-Prés, Corcelles-près-Payerne, Payerne",2.0,0.00021915406530791147,0.21915406530791148,25.0,0.002739425816348893,2.739425816348893
330,1532,Fétigny,,,,,,
331,1533,Ménières,,,,,,
332,1534,"Cheiry, Valbroye",,,,,,
333,1535,Valbroye,,,,,,
334,1536,Valbroye,,,,,,
335,1537,Champtauroz,,,,,,
336,1538,Treytorrens (Payerne),,,,,,
337,1541,"Bussy (FR), Morens (FR), Sévaz",,,,,,
338,1542,Rueyres-les-Prés,,,,,,
339,1543,Grandcour,,,,1.0,0.0011614401858304297,1.1614401858304297
340,1544,Gletterens,1.0,0.0010449320794148381,1.0449320794148382,1.0,0.0010449320794148381,1.0449320794148382
341,1545,Chevroux,,,,,,
342,1551,Payerne,,,,,,
343,1552,Trey,,,,1.0,0.003787878787878788,3.787878787878788
344,1553,Châtonnaye,,,,,,
345,1554,Villarzel,,,,,,
346,1555,Villarzel,,,,,,
347,1562,"Montagny (FR), Corcelles-près-Payerne, Payerne",,,,8.0,0.0038095238095238095,3.8095238095238093
348,1563,Belmont-Broye,2.0,0.002,2.0,,,
349,1564,Belmont-Broye,2.0,0.0006856359273225917,0.6856359273225917,1.0,0.00034281796366129587,0.34281796366129585
350,1565,"Vallon, Missy",,,,,,
351,1566,Saint-Aubin (FR),3.0,0.0018796992481203006,1.8796992481203008,,,
352,1567,Delley-Portalban,,,,,,
353,1568,Delley-Portalban,,,,1.0,0.001524390243902439,1.524390243902439
354,1580,"Belmont-Broye, Avenches",2.0,0.0004916420845624386,0.4916420845624386,3.0,0.0007374631268436578,0.7374631268436578
355,1583,Villarepos,,,,,,
356,1584,Vully-les-Lacs,,,,,,
357,1585,Vully-les-Lacs,,,,1.0,0.001006036217303823,1.006036217303823
358,1586,Vully-les-Lacs,,,,,,
359,1587,Vully-les-Lacs,,,,,,
360,1588,Cudrefin,,,,1.0,0.0006839945280437756,0.6839945280437756
361,1589,Vully-les-Lacs,,,,,,
