diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"09.08.2008";"Bern";"Thun (bis 2010)";"Heimberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"07.08.2008";"Bern";"Aarwangen";"Leimiswil";"Zu überwachende Seuchen";"Kryptosporidiose";"Hirsch";"";0;0
"06.08.2008";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Campylobacteriose";"Hund";"";1;0
"05.08.2008";"Bern";"Trachselwald";"Wyssachen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";3;0
"31.07.2008";"Bern";"Seftigen";"Rüeggisberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";2;0
"31.07.2008";"Bern";"Trachselwald";"Sumiswald";"Zu überwachende Seuchen";"Neosporose";"Rind";"";0;0
"30.07.2008";"Bern";"Trachselwald";"Sumiswald";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"30.07.2008";"Bern";"Trachselwald";"Rüegsau";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";3;0
"21.07.2008";"Bern";"Burgdorf";"Hasle bei Burgdorf";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"19.07.2008";"Bern";"Wangen";"Thörigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"19.07.2008";"Bern";"Wangen";"Thörigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";3;0
"19.07.2008";"Bern";"Wangen";"Röthenbach bei Herzogenbuchsee";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";8;0
"19.07.2008";"Bern";"Wangen";"Niederönz";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";3;0
"16.07.2008";"Bern";"Niedersimmental";"Spiez";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
