diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"08.12.2011";"Bern";"Moutier";"Moutier";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"15.12.2011";"Bern";"Trachselwald";"Rüegsau";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"27.12.2011";"Bern";"Schwarzenburg";"Wahlern";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"30.12.2011";"Bern";"Trachselwald";"Sumiswald";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"16.01.2012";"Bern";"Interlaken";"Grindelwald";"Zu überwachende Seuchen";"Toxoplasmose";"Ziege";"";1;0
"03.02.2012";"Bern";"Frutigen";"Aeschi bei Spiez";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"24.02.2012";"Bern";"Burgdorf";"Krauchthal";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"24.02.2012";"Bern";"Signau";"Trub";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"24.02.2012";"Bern";"Fraubrunnen";"Wiler bei Utzenstorf";"Zu überwachende Seuchen";"Toxoplasmose";"Schaf";"";1;0
"21.05.2012";"Bern";"Thun (bis 2010)";"Sigriswil";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"01.06.2012";"Bern";"Oberaargau";"Ochlenberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"22.06.2012";"Bern";"Frutigen-Niedersimmental";"Frutigen";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"06.07.2012";"Bern";"Trachselwald";"Sumiswald";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"17.07.2012";"Bern";"Thun (bis 2010)";"Fahrni";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"07.08.2012";"Bern";"Courtelary";"La Ferrière";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"05.09.2012";"Bern";"Emmental";"Trub";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"05.09.2012";"Bern";"Emmental";"Rüegsau";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"05.09.2012";"Bern";"Bern-Mittelland";"Worb";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"14.09.2012";"Bern";"Thun";"Oberlangenegg";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"14.09.2012";"Bern";"Bern-Mittelland";"Wahlern";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"05.10.2012";"Bern";"Seeland";"Rapperswil (BE)";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"11.10.2012";"Bern";"Seeland";"Rapperswil (BE)";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"11.10.2012";"Bern";"Frutigen";"Aeschi bei Spiez";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"11.10.2012";"Bern";"Frutigen-Niedersimmental";"Kandersteg";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"11.10.2012";"Bern";"Thun";"Oberlangenegg";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"11.10.2012";"Bern";"Thun (bis 2010)";"Thierachern";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"11.10.2012";"Bern";"Thun (bis 2010)";"Buchholterberg";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"11.10.2012";"Bern";"Thun (bis 2010)";"Buchholterberg";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"26.10.2012";"Bern";"Frutigen-Niedersimmental";"Diemtigen";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"26.10.2012";"Bern";"Frutigen-Niedersimmental";"Frutigen";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"21.12.2012";"Bern";"Seeland";"Jens";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"11.01.2013";"Bern";"Schwarzenburg";"Wahlern";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"01.11.2012";"Bern";"Oberaargau";"Lotzwil";"Zu bekämpfende Seuchen";"Salmonellose";"Rind";"";1;0
"19.02.2013";"Bern";"Frutigen-Niedersimmental";"Aeschi bei Spiez";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"22.02.2013";"Bern";"Bern-Mittelland";"Mühleberg";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"22.02.2013";"Bern";"Bern-Mittelland";"Linden";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"22.02.2013";"Bern";"Seeland";"Jens";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"25.03.2013";"Bern";"Bern-Mittelland";"Schwarzenburg";"Zu überwachende Seuchen";"Coxiellose";"Ziege";"";1;0
"13.05.2013";"Bern";"Bern-Mittelland";"Münchenbuchsee";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"06.06.2013";"Bern";"Berner Jura";"Châtelat";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"17.06.2013";"Bern";"Oberaargau";"Madiswil";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"17.06.2013";"Bern";"Berner Jura";"Châtelat";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"26.06.2013";"Bern";"Thun";"Thierachern";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"20.08.2013";"Bern";"Bern-Mittelland";"Köniz";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"23.08.2013";"Bern";"Bern-Mittelland";"Jegenstorf";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"24.09.2013";"Bern";"Emmental";"Affoltern im Emmental";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"08.10.2013";"Bern";"Bern-Mittelland";"Rubigen";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"10.10.2013";"Bern";"Bern-Mittelland";"Rubigen";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"08.11.2013";"Bern";"Seeland";"Jens";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"13.11.2013";"Bern";"Seeland";"Jens";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"18.11.2013";"Bern";"Emmental";"Willadingen";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"18.11.2013";"Bern";"Interlaken-Oberhasli";"Habkern";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"28.11.2013";"Bern";"Emmental";"Willadingen";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"12.12.2013";"Bern";"Frutigen-Niedersimmental";"Adelboden";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"12.12.2013";"Bern";"Bern-Mittelland";"Schwarzenburg";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"20.12.2013";"Bern";"Emmental";"Wynigen";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"17.06.2013";"Bern";"Bern-Mittelland";"Münchenbuchsee";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"28.01.2014";"Bern";"Bern-Mittelland";"Rüeggisberg";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"04.02.2014";"Bern";"Frutigen-Niedersimmental";"Reichenbach im Kandertal";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"16.01.2014";"Bern";"Emmental";"Sumiswald";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"10.02.2010";"Bern";"Thun";"Buchholterberg";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"17.02.2010";"Bern";"Aarberg";"Meikirch";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"23.04.2010";"Bern";"Trachselwald";"Sumiswald";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"12.02.2011";"Bern";"Signau";"Langnau im Emmental";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"14.06.2011";"Bern";"Burgdorf";"Krauchthal";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"18.02.2014";"Bern";"Thun";"Höfen";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"07.03.2014";"Bern";"Schwarzenburg";"Wahlern";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"07.03.2014";"Bern";"Fraubrunnen";"Wiler bei Utzenstorf";"Zu überwachende Seuchen";"Toxoplasmose";"Schaf";"";1;0
"10.03.2014";"Bern";"Emmental";"Oberburg";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"14.03.2014";"Bern";"Berner Jura";"Court";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"19.03.2014";"Bern";"Emmental";"Oberburg";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"25.03.2014";"Bern";"Berner Jura";"Tavannes";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"04.04.2014";"Bern";"Berner Jura";"Tavannes";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"15.05.2014";"Bern";"Frutigen-Niedersimmental";"Reichenbach im Kandertal";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"22.05.2014";"Bern";"Emmental";"Heimiswil";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"23.06.2014";"Bern";"Thun";"Burgistein";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"25.07.2014";"Bern";"Signau";"Rüderswil";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"28.08.2014";"Bern";"Bern-Mittelland";"Arni (BE)";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"29.08.2014";"Bern";"Frutigen-Niedersimmental";"Reichenbach im Kandertal";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"04.09.2014";"Bern";"Bern-Mittelland";"Landiswil";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"18.09.2014";"Bern";"Emmental";"Sumiswald";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"29.09.2014";"Bern";"Oberaargau";"Rohrbach";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"03.10.2014";"Bern";"Bern-Mittelland";"Kirchlindach";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"28.10.2014";"Bern";"Emmental";"Signau";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"28.10.2014";"Bern";"Frutigen-Niedersimmental";"Reichenbach im Kandertal";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"29.10.2014";"Bern";"Berner Jura";"Champoz";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"30.10.2014";"Bern";"Emmental";"Trubschachen";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"05.11.2014";"Bern";"Emmental";"Affoltern im Emmental";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"01.12.2014";"Bern";"Emmental";"Trub";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"10.12.2014";"Bern";"Frutigen-Niedersimmental";"Aeschi bei Spiez";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"17.12.2014";"Bern";"Interlaken-Oberhasli";"Brienz (BE)";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"22.12.2014";"Bern";"Frutigen";"Adelboden";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"29.12.2014";"Bern";"Interlaken-Oberhasli";"Iseltwald";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"07.01.2015";"Bern";"Frutigen-Niedersimmental";"Kandergrund";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"07.01.2015";"Bern";"Emmental";"Lauperswil";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"23.01.2015";"Bern";"Bern-Mittelland";"Ferenbalm";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"09.12.2014";"Bern";"Berner Jura";"Saicourt";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"29.01.2015";"Bern";"Thun";"Thun";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"29.01.2015";"Bern";"Thun";"Blumenstein";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"03.02.2015";"Bern";"Emmental";"Affoltern im Emmental";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"26.02.2015";"Bern";"Interlaken-Oberhasli";"Unterseen";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"20.03.2015";"Bern";"Bern";"Bolligen";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"14.04.2015";"Bern";"Interlaken-Oberhasli";"Iseltwald";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"14.04.2015";"Bern";"Schwarzenburg";"Wahlern";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"22.04.2015";"Bern";"Schwarzenburg";"Wahlern";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"23.04.2015";"Bern";"Schwarzenburg";"Wahlern";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"29.04.2015";"Bern";"Seftigen";"Gurzelen";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"28.05.2015";"Bern";"Interlaken";"Brienz (BE)";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"02.06.2015";"Bern";"Aarberg";"Radelfingen";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"29.06.2015";"Bern";"Emmental";"Hasle bei Burgdorf";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"13.07.2015";"Bern";"Thun (bis 2010)";"Blumenstein";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"16.07.2015";"Bern";"Burgdorf";"Rüti bei Lyssach";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"20.08.2015";"Bern";"Emmental";"Hasle bei Burgdorf";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"07.09.2015";"Bern";"Thun";"Buchholterberg";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"14.10.2015";"Bern";"Laupen";"Mühleberg";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"16.10.2015";"Bern";"Emmental";"Sumiswald";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"09.11.2015";"Bern";"Burgdorf";"Mötschwil";"Zu bekämpfende Seuchen";"Salmonellose";"Rind";"";1;0
"09.11.2015";"Bern";"Aarberg";"Kappelen";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"16.11.2015";"Bern";"Fraubrunnen";"Mülchi";"Zu bekämpfende Seuchen";"Leptospirose";"Schwein";"";1;0
"18.11.2015";"Bern";"Saanen";"Saanen";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"19.11.2015";"Bern";"Signau";"Trub";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"14.12.2015";"Bern";"Thun";"Buchholterberg";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"18.12.2015";"Bern";"Trachselwald";"Rüegsau";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"04.01.2016";"Bern";"Seftigen";"Kehrsatz";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"12.01.2016";"Bern";"Niedersimmental";"Reutigen";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"19.02.2016";"Bern";"Emmental";"Sumiswald";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"19.02.2016";"Bern";"Burgdorf";"Heimiswil";"Zu überwachende Seuchen";"Listeriose";"Rind";"";1;0
"26.02.2016";"Bern";"Interlaken-Oberhasli";"Grindelwald";"Zu bekämpfende Seuchen";"Salmonellose";"Schaf";"";1;0
"07.03.2016";"Bern";"Emmental";"Sumiswald";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"22.03.2016";"Bern";"Wangen";"Seeberg";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Schaf";"";1;0
"31.03.2016";"Bern";"Schwarzenburg";"Wahlern";"Zu bekämpfende Seuchen";"Salmonellose";"Schaf";"";1;0
"11.04.2016";"Bern";"Thun";"Thierachern";"Zu überwachende Seuchen";"Coxiellose";"Schaf";"";1;0
"03.05.2016";"Bern";"Schwarzenburg";"Guggisberg";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"09.05.2016";"Bern";"Thun";"Sigriswil";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"17.05.2016";"Bern";"Bern-Mittelland";"Lohnstorf";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"20.11.2002";"Bern";"Konolfingen";"Bleiken bei Oberdiessbach";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";1;1
"18.02.2003";"Bern";"Laupen";"Neuenegg";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";0;1
"14.02.2003";"Bern";"Bern";"Bern";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";2;2
"19.03.2003";"Bern";"Burgdorf";"Rüdtligen-Alchenflüh";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";0;0
"20.07.2004";"Bern";"Aarberg";"Radelfingen";"Zu bekämpfende Seuchen";"Actinobacillose der Schweine";"Schwein";"";1;1
"14.07.2003";"Bern";"Erlach";"Gampelen";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";1;1
"08.07.2003";"Bern";"Konolfingen";"Bleiken bei Oberdiessbach";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";1;0
"04.07.2003";"Bern";"Aarberg";"Rapperswil (BE)";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";1;0
"08.07.2003";"Bern";"Aarwangen";"Oeschenbach";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";1;0
"07.07.2003";"Bern";"Burgdorf";"Alchenstorf";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";1;0
"28.07.2003";"Bern";"Büren";"Rüti bei Büren";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";1;0
"14.08.2003";"Bern";"Moutier";"Châtelat";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";0;1
"11.12.2003";"Bern";"Aarberg";"Rapperswil (BE)";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";60;60
"17.12.2004";"Bern";"Thun (bis 2010)";"Homberg";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";0;0
"18.07.2005";"Bern";"Erlach";"Tschugg";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";0;0
"05.01.2006";"Bern";"Nidau";"Walperswil";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";3;0
"30.06.2011";"Bern";"Konolfingen";"Mirchel";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"22.01.2013";"Bern";"Emmental";"Hindelbank";"Zu bekämpfende Seuchen";"Actinobacillose der Schweine";"Schwein";"";1;0
"22.01.2013";"Bern";"Wangen";"Niederbipp";"Zu bekämpfende Seuchen";"Actinobacillose der Schweine";"Schwein";"";1;0
"18.09.2014";"Bern";"Emmental";"Ersigen";"Zu überwachende Seuchen";"Listeriose";"Rind";"";1;0
"16.02.2016";"Bern";"Laupen";"Neuenegg";"Zu überwachende Seuchen";"Echinococcose";"Schwein";"";4;0
"29.03.2007";"Bern";"Seftigen";"Gurzelen";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"26.03.2007";"Bern";"Trachselwald";"Lützelflüh";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"29.03.2007";"Bern";"Trachselwald";"Sumiswald";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";2;0
"01.11.2006";"Bern";"Frutigen";"Aeschi bei Spiez";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"25.01.2007";"Bern";"Burgdorf";"Oberösch";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"12.03.2007";"Bern";"Seftigen";"Kehrsatz";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"25.04.2007";"Bern";"Interlaken";"Niederried bei Interlaken";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";2;0
"27.07.2002";"Bern";"Thun (bis 2010)";"Unterlangenegg";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;1
"13.05.2002";"Bern";"Signau";"Röthenbach im Emmental";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"30.05.2002";"Bern";"Laupen";"Neuenegg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"21.08.2002";"Bern";"Fraubrunnen";"Fraubrunnen";"Zu überwachende Seuchen";"Proliferative Nierenkrankheit der Fische";"Fisch";"";0;0
"27.01.2003";"Bern";"Signau";"Eggiwil";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";3;0
"04.03.2003";"Bern";"Laupen";"Mühleberg";"Zu bekämpfende Seuchen";"Enzootische Pneumonie der Schweine";"Schwein";"";1;1
"11.03.2003";"Bern";"Schwarzenburg";"Wahlern";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"06.03.2003";"Bern";"Oberhasli";"Hasliberg";"Auszurottende Seuchen";"Bovine Virus Diarrhoe / Mucosal Disease (BVD / MD)";"Rind";"";1;0
"24.03.2003";"Bern";"Interlaken";"Grindelwald";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"10.06.2000";"Bern";"Konolfingen";"Walkringen";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"21.06.2000";"Bern";"Frutigen";"Frutigen";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"20.07.2000";"Bern";"Konolfingen";"Schlosswil";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"20.07.2000";"Bern";"Obersimmental";"Lenk";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"17.04.1999";"Bern";"Wangen";"Wangenried";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"24.04.1999";"Bern";"Bern";"Stettlen";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"24.04.1999";"Bern";"Burgdorf";"Heimiswil";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"24.04.1999";"Bern";"Saanen";"Saanen";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"24.04.1999";"Bern";"Thun (bis 2010)";"Buchholterberg";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"01.05.1999";"Bern";"Courtelary";"Renan (BE)";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"03.04.1999";"Bern";"Burgdorf";"Alchenstorf";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"20.03.1999";"Bern";"Signau";"Eggiwil";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"08.05.1999";"Bern";"Aarberg";"Schüpfen";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"08.05.1999";"Bern";"Bern";"Bern";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"08.05.1999";"Bern";"Fraubrunnen";"Urtenen";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"08.05.1999";"Bern";"Wangen";"Thörigen";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"21.08.1999";"Bern";"Signau";"Röthenbach im Emmental";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";0;0
"09.09.2000";"Bern";"Aarberg";"Meikirch";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"09.09.2000";"Bern";"Trachselwald";"Eriswil";"Zu bekämpfende Seuchen";"Caprine Arthritis-Encephalitis";"Ziege";"";1;0
"05.09.2000";"Bern";"Bern";"Köniz";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"14.09.2000";"Bern";"Seftigen";"Riggisberg";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";1;0
"14.09.2000";"Bern";"Schwarzenburg";"Wahlern";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";2;0
"11.08.2000";"Bern";"Schwarzenburg";"Rüschegg";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";1;0
"29.08.2000";"Bern";"Schwarzenburg";"Rüschegg";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";1;0
"11.08.2000";"Bern";"Schwarzenburg";"Rüschegg";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";2;0
"09.09.2000";"Bern";"Schwarzenburg";"Wahlern";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";1;0
"11.09.2000";"Bern";"Schwarzenburg";"Wahlern";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";2;0
"08.09.2000";"Bern";"Schwarzenburg";"Wahlern";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";4;0
"19.09.2000";"Bern";"Seftigen";"Mühlethurnen";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";5;0
"22.09.2000";"Bern";"Seftigen";"Mühlethurnen";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";2;0
"13.09.2000";"Bern";"Seftigen";"Riggisberg";"Zu bekämpfende Seuchen";"Faulbrut der Bienen";"Bienen";"";1;0
