Country,StartTime,Work and study,Travel to/from work/study,Household work,Sleep and other personal care,Eating,Freetime,TV and video,Unspecified time
Slovenia,11:30,34.99,0.44,37.46,2.4,4.53,17.26,2.54,0.37
Slovenia,11:40,35.14,0.51,36.91,2.37,4.96,17.2,2.57,0.33
Slovenia,11:50,34.76,0.56,35.14,2.37,7.83,16.67,2.39,0.29
Slovenia,12:00,32.52,1.02,30.85,2.32,15.31,15.29,2.06,0.62
Slovenia,12:10,32.59,0.93,30.4,2.31,16.76,14.72,2.01,0.27
Slovenia,12:20,32.69,1.06,29.61,2.04,17.3,14.91,2.1,0.29
Slovenia,12:30,32.92,1,29.53,1.99,16.52,15.34,2.39,0.29
Slovenia,12:40,32.75,1.08,29.47,1.89,15.71,16.17,2.57,0.36
Slovenia,12:50,32.45,1.32,27.52,2.08,17.29,16.24,2.74,0.35
Slovenia,13:00,30.84,2.03,24.29,1.93,18.87,18.29,3.25,0.5
Slovenia,13:10,31.2,1.71,24.13,1.94,18.81,18.62,3.24,0.35
Slovenia,13:20,31.44,1.76,24.43,1.74,17.52,19.61,3.14,0.36
Slovenia,13:30,31.37,1.94,25.52,1.6,14.38,21.58,3.27,0.35
Slovenia,13:40,31.47,2.06,26.02,1.66,12.41,22.72,3.34,0.32
Slovenia,13:50,31.14,2.43,25.22,1.67,12.21,23.57,3.39,0.37
Slovenia,14:00,26.78,5.88,25.29,2.03,11.09,24.79,3.53,0.61
Slovenia,14:10,26.1,4.96,25.56,2.08,11.85,25.57,3.58,0.3
Slovenia,14:20,26.05,3.59,25.97,1.94,11.74,26.67,3.8,0.24
Slovenia,14:30,25.82,2.82,26.53,2.1,10.75,27.75,3.89,0.33
Slovenia,14:40,25.58,2.58,27.03,2.27,9.64,28.8,3.81,0.28
Slovenia,14:50,25.34,2.41,27.22,2.04,9.63,29.12,3.93,0.3
Slovenia,15:00,20.02,6.09,28.18,2.22,9.15,30.1,3.89,0.36
Slovenia,15:10,19.49,5.06,28.2,2.27,9.52,30.84,4.24,0.38
Slovenia,15:20,19.16,3.99,28.33,2.13,10.04,31.69,4.37,0.28
Slovenia,15:30,18.07,3.67,29.62,2.25,9.5,31.97,4.58,0.33
Slovenia,15:40,17.84,3.29,29.94,2.1,8.87,33.06,4.56,0.33
Slovenia,15:50,17.59,2.86,29.82,2.22,9.23,33.4,4.55,0.34
Slovenia,16:00,15.82,3.35,31.28,2.67,8.15,33.22,5.02,0.49
Slovenia,16:10,15.96,2.53,31.58,2.56,8.58,33.08,5.32,0.39
Slovenia,16:20,16.08,1.98,32.67,1.99,8.04,33.24,5.58,0.44
Slovenia,16:30,15.87,1.87,33.24,1.92,7.07,33.47,6.13,0.45
Slovenia,16:40,15.85,1.41,33.84,2.13,6.59,33.37,6.36,0.46
Slovenia,16:50,15.73,1.39,33.85,1.85,6.25,33.69,6.87,0.37
Slovenia,17:00,14.17,2.32,32.91,2.54,7.03,31.99,8.67,0.38
Slovenia,17:10,14.19,1.62,33.33,2.35,7.09,31.79,9.41,0.23
Slovenia,17:20,14.26,1.43,32.78,2.12,6.82,32.29,9.99,0.31
Slovenia,17:30,14.11,1.2,33.06,2.18,6.29,32.15,10.68,0.33
Slovenia,17:40,14.03,1.16,33.12,2.05,5.76,32.32,11.18,0.38
Slovenia,17:50,14.04,1.06,32.4,2.08,6.43,32.22,11.46,0.32
Slovenia,18:00,12.82,1.51,32.16,3.28,8.55,29.15,12.04,0.5
Slovenia,18:10,12.78,1.15,31.45,3.24,9.7,28.45,12.96,0.28
Slovenia,18:20,12.66,0.98,30.91,3.17,9.88,28.65,13.42,0.33
Slovenia,18:30,12.44,0.86,30.22,3.43,9.51,28.55,14.65,0.33
Slovenia,18:40,12.29,0.49,29.9,3.5,9.63,28.35,15.43,0.42
Slovenia,18:50,12.02,0.61,28.15,3.36,11.4,27.59,16.39,0.49
Slovenia,19:00,9.29,1.8,23.55,4.93,14.44,22.85,22.7,0.43
Slovenia,19:10,9.11,1.3,21.74,5.05,15.6,21.7,25.15,0.34
Slovenia,19:20,8.81,1.15,20,4.12,13.95,20.34,31.24,0.4
Slovenia,19:30,8.44,0.93,16.81,3.8,11.17,18.5,39.95,0.4
Slovenia,19:40,8.18,0.73,16.48,4.3,9.47,18.45,42.12,0.27
Slovenia,19:50,7.72,0.69,16.14,4.5,9.59,18.74,42.3,0.3
Slovenia,20:00,6.48,0.98,17.16,8.55,10.4,20.97,34.93,0.52
Slovenia,20:10,6.47,0.74,16.36,8.73,10.01,20.82,36.48,0.4
Slovenia,20:20,6.34,0.75,15.08,8.48,8.85,21.07,39.08,0.35
Slovenia,20:30,6.07,0.6,13.54,9.36,6.99,21.03,41.93,0.48
Slovenia,20:40,5.96,0.49,12.8,9.56,6.18,20.56,43.96,0.5
Slovenia,20:50,5.79,0.47,12.23,10.61,5.22,20.69,44.45,0.54
Slovenia,21:00,5.4,0.72,9.86,18.72,3.7,19.85,41.21,0.54
Slovenia,21:10,5.5,0.63,8.79,19.78,3.41,19.21,42.08,0.6
Slovenia,21:20,5.42,0.55,7.64,21.22,2.84,18.79,42.84,0.71
Slovenia,21:30,5.17,0.55,6.53,25.06,2.62,18,41.38,0.68
Slovenia,21:40,5.04,0.56,5.55,27.55,2.19,17.79,40.51,0.8
Slovenia,21:50,4.87,0.69,4.84,32.66,1.9,16.67,37.54,0.83
Slovenia,22:00,3.18,1.42,3.68,53.74,1.51,12.77,22.9,0.78
Slovenia,22:10,3.07,1.11,3.33,54.42,1.75,12.43,23.13,0.77
Slovenia,22:20,2.96,0.74,2.73,56.72,1.71,12.1,22.5,0.53
Slovenia,22:30,2.8,0.54,2.31,61.44,1.3,11.19,19.97,0.45
Slovenia,22:40,2.57,0.39,2.15,63.86,1.01,10.81,18.69,0.53
Slovenia,22:50,2.53,0.25,1.67,67.43,0.88,10.43,16.53,0.28
Slovenia,23:00,1.99,0.35,1.27,79.12,0.53,7.72,8.79,0.24
Slovenia,23:10,1.9,0.3,1.1,81.16,0.43,7.09,7.88,0.14
Slovenia,23:20,1.87,0.3,0.95,82.54,0.3,6.58,7.29,0.17
Slovenia,23:30,1.82,0.25,0.81,85.09,0.3,5.71,5.87,0.14
Slovenia,23:40,1.69,0.14,0.51,86.36,0.3,5.4,5.44,0.16
Slovenia,23:50,1.57,0.15,0.47,88.35,0.25,4.64,4.45,0.12
Slovenia,0:00,1.34,0.18,0.21,91.81,0.21,3.86,2.25,0.13
Slovenia,0:10,1.25,0.13,0.24,92.56,0.19,3.64,1.92,0.07
Slovenia,0:20,1.23,0.08,0.25,93.23,0.14,3.3,1.73,0.04
Slovenia,0:30,1.17,0.06,0.21,94.1,0.18,2.95,1.32,0
Slovenia,0:40,1.16,0.04,0.22,94.52,0.16,2.68,1.2,0.01
Slovenia,0:50,1.19,0.04,0.29,94.75,0.1,2.54,1.07,0.02
Slovenia,1:00,1.04,0.09,0.23,96.09,0.09,1.86,0.55,0.05
Slovenia,1:10,1.04,0.04,0.13,96.35,0.11,1.75,0.55,0.02
Slovenia,1:20,1.07,0.05,0.11,96.51,0.07,1.67,0.51,0.01
Slovenia,1:30,1.03,0.02,0.1,96.7,0.09,1.58,0.48,0.01
Slovenia,1:40,1.01,0.01,0.12,96.82,0.08,1.48,0.46,0.02
Slovenia,1:50,0.97,0.03,0.17,96.93,0.07,1.42,0.41,0
Slovenia,2:00,0.93,0.04,0.29,97.12,0.03,1.29,0.29,0
Slovenia,2:10,0.93,0.05,0.27,97.26,0.05,1.23,0.2,0.01
Slovenia,2:20,0.93,0.05,0.21,97.4,0.03,1.17,0.21,0.01
Slovenia,2:30,0.94,0.06,0.16,97.54,0.01,1.08,0.18,0.04
Slovenia,2:40,0.93,0.06,0.21,97.66,0.01,1,0.1,0.02
Slovenia,2:50,0.93,0.04,0.14,97.82,0.03,0.94,0.09,0.02
Slovenia,3:00,0.89,0.06,0.18,97.96,0.01,0.82,0.06,0.02
Slovenia,3:10,0.86,0.08,0.19,98.05,0.03,0.7,0.07,0.02
Slovenia,3:20,0.9,0.05,0.15,98.13,0.01,0.67,0.09,0.01
Slovenia,3:30,0.87,0.03,0.08,98.3,0.04,0.61,0.06,0.01
Slovenia,3:40,0.87,0.01,0.07,98.4,0.05,0.55,0.04,0.01
Slovenia,3:50,0.89,0.03,0.23,98.32,0.04,0.46,0.03,0.01
United Kingdom,4:00,1.34,0.1,0.35,97.5,0.14,0.38,0.15,0.03
United Kingdom,4:10,1.34,0.13,0.49,97.34,0.13,0.4,0.17,0.01
United Kingdom,4:20,1.36,0.15,0.53,97.03,0.25,0.47,0.16,0.04
United Kingdom,4:30,1.4,0.17,0.65,96.77,0.26,0.56,0.16,0.03
United Kingdom,4:40,1.41,0.27,0.64,96.64,0.26,0.58,0.17,0.04
United Kingdom,4:50,1.53,0.24,0.61,96.45,0.35,0.61,0.17,0.03
United Kingdom,5:00,1.68,0.23,0.85,95.87,0.48,0.67,0.2,0.03
United Kingdom,5:10,1.69,0.35,0.98,95.35,0.63,0.71,0.23,0.07
United Kingdom,5:20,1.75,0.59,1.22,94.75,0.65,0.74,0.21,0.09
United Kingdom,5:30,1.88,1.04,1.34,93.99,0.64,0.78,0.27,0.05
United Kingdom,5:40,2.13,1.12,1.34,93.33,0.73,1.02,0.27,0.06
United Kingdom,5:50,2.47,1.25,1.54,92.3,0.85,1.13,0.41,0.06
United Kingdom,6:00,2.87,1.16,2.43,90.31,1.25,1.46,0.44,0.08
United Kingdom,6:10,2.99,1.46,2.74,88.79,1.6,1.84,0.43,0.15
United Kingdom,6:20,3.29,1.77,3.77,86.55,2.02,2.04,0.46,0.1
United Kingdom,6:30,3.6,2.3,4.69,83.69,2.64,2.32,0.58,0.19
United Kingdom,6:40,3.95,2.93,5.19,81.16,3.05,2.75,0.72,0.25
United Kingdom,6:50,4.56,3.57,6.25,78,3.79,2.88,0.65,0.3
United Kingdom,7:00,5.68,4,9.25,71.19,4.47,4.08,0.99,0.33
United Kingdom,7:10,6.12,4.65,10.41,66.86,6.16,4.29,1.08,0.43
United Kingdom,7:20,7.09,5.42,11.27,62.97,6.56,4.68,1.62,0.4
United Kingdom,7:30,8.75,6.18,13.88,56.84,7.28,4.97,1.71,0.39
United Kingdom,7:40,9.79,7.35,14.71,52.6,8.03,5.46,1.68,0.38
United Kingdom,7:50,12.01,7.66,15.8,48.02,8.3,5.94,1.78,0.48
United Kingdom,8:00,15.65,6.53,17.53,42.4,8.99,6.52,1.89,0.49
United Kingdom,8:10,17.03,7.02,18.25,38.68,9.66,6.89,1.99,0.47
United Kingdom,8:20,18.82,7.29,18.82,35.5,9.54,7.39,2.03,0.59
United Kingdom,8:30,21.49,7.04,20.82,31.15,8.72,8,2.1,0.7
United Kingdom,8:40,23.25,7.25,21.55,28.28,8.42,8.41,2.13,0.73
United Kingdom,8:50,25.81,6.35,22.73,25.36,8.07,8.93,2.11,0.63
United Kingdom,9:00,29.82,3.77,23.67,22.79,7.11,9.84,2.38,0.62
United Kingdom,9:10,30.98,3.24,24.01,20.28,7.48,10.5,2.71,0.8
United Kingdom,9:20,31.94,2.8,24.79,18.27,7.26,11.38,2.78,0.79
United Kingdom,9:30,33.08,2.09,26.5,16.56,6.27,11.75,2.98,0.76
United Kingdom,9:40,33.54,1.83,26.91,15.48,5.57,12.68,3.07,0.92
United Kingdom,9:50,33.79,1.76,27.19,14.35,5.42,13.56,3.04,0.9
United Kingdom,10:00,34.78,0.85,29.38,12.25,4.8,14.12,2.78,1.05
United Kingdom,10:10,35.18,0.77,29.49,11.13,4.83,14.64,3.11,0.85
United Kingdom,10:20,35.41,0.7,29.57,9.86,4.85,15.44,3.33,0.83
United Kingdom,10:30,35.59,0.74,30.4,8.65,4.68,15.65,3.46,0.84
United Kingdom,10:40,35.76,0.81,30.39,7.97,4.58,15.99,3.62,0.88
United Kingdom,10:50,35.85,0.81,30.65,7.34,4.32,16.59,3.68,0.76
United Kingdom,11:00,35.96,0.63,31.04,6.94,4.35,16.83,3.41,0.84
United Kingdom,11:10,36.08,0.58,30.91,6.25,4.46,17.39,3.5,0.82
United Kingdom,11:20,36.12,0.56,30.98,5.73,4.01,18.01,3.74,0.85
United Kingdom,11:30,36.1,0.77,30.37,5.77,3.83,18.45,3.76,0.95
United Kingdom,11:40,36.06,0.76,30.28,5.26,4.1,18.7,3.88,0.96
United Kingdom,11:50,35.69,0.74,30.25,4.8,5.17,18.51,3.86,0.97
United Kingdom,12:00,32.95,1.06,30.18,4.35,8.8,18.37,3.43,0.84
United Kingdom,12:10,32.45,0.89,29.63,3.97,10.15,18.26,3.82,0.84
United Kingdom,12:20,31.82,0.93,28.56,3.74,11.52,18.59,4.04,0.78
United Kingdom,12:30,29.94,1.26,28.28,3.69,12.82,18.74,4.48,0.78
United Kingdom,12:40,29.58,1.17,28.15,3.43,13.57,18.51,4.7,0.9
United Kingdom,12:50,28.93,1.38,27.08,3.43,15.06,18.55,4.78,0.8
United Kingdom,13:00,26.68,1.6,26.58,3.4,17.3,18.39,5.05,1.01
United Kingdom,13:10,27.11,1.32,25.59,3.45,17.55,18.73,5.42,0.82
United Kingdom,13:20,27.93,1.18,25.31,3.49,16.49,19,5.81,0.79
United Kingdom,13:30,29.66,1.29,26,3.36,13.7,19.33,5.83,0.82
United Kingdom,13:40,30.43,1.2,26.26,3.32,12.06,19.67,6.23,0.84
United Kingdom,13:50,31.1,1.28,26.06,3.18,10.8,20.43,6.21,0.94
United Kingdom,14:00,32.52,1.32,26.73,3.33,8.14,20.87,6.13,0.96
United Kingdom,14:10,32.73,1.22,26.86,3.37,7.44,21.13,6.41,0.84
United Kingdom,14:20,32.81,1.07,26.48,3.46,7.03,21.33,6.89,0.94
United Kingdom,14:30,32.82,1.06,27.44,3.26,5.7,21.48,7.17,1.06
United Kingdom,14:40,32.82,1.02,27.51,3.13,5.09,21.88,7.54,1.01
United Kingdom,14:50,32.61,1,27.58,3.13,4.93,22.26,7.39,1.1
United Kingdom,15:00,31.91,1.03,28.71,3.23,4.57,22.4,7,1.13
United Kingdom,15:10,31.8,1.04,28.53,3.16,4.4,22.47,7.46,1.16
United Kingdom,15:20,31.38,1.25,27.94,3.22,4.36,23.03,7.73,1.09
United Kingdom,15:30,30.67,1.75,27.75,3.08,4.19,23.09,8.29,1.18
United Kingdom,15:40,30.32,1.65,27.49,3.15,4.09,23.3,8.76,1.26
United Kingdom,15:50,29.87,1.76,27.48,3.23,4.57,23.01,8.79,1.29
United Kingdom,16:00,27.39,2.93,27.97,3.42,4.95,22.9,9.1,1.34
United Kingdom,16:10,26.98,2.78,27.67,3.49,5.25,23.1,9.5,1.23
United Kingdom,16:20,26.5,2.64,28.12,3.51,5.04,23.01,9.97,1.21
United Kingdom,16:30,24.54,3.53,28.48,3.53,5.31,22.45,10.78,1.38
United Kingdom,16:40,23.75,3.42,28.61,3.59,5.8,22.17,11.35,1.32
United Kingdom,16:50,22.81,3.6,28.84,3.5,6.67,21.71,11.48,1.4
United Kingdom,17:00,18.57,5.73,29.6,3.64,9.18,20.99,11.2,1.09
United Kingdom,17:10,17.22,5.54,29.26,4.05,10.5,20.58,11.63,1.23
United Kingdom,17:20,16.15,4.94,28.88,4.13,12.21,20.6,12.02,1.07
United Kingdom,17:30,13.6,5.36,29.6,4.16,12.74,20.57,12.79,1.18
United Kingdom,17:40,12.67,5.15,29.34,4.36,13.25,20.5,13.51,1.23
United Kingdom,17:50,11.98,4.28,28.05,4.52,14.75,20.48,14.66,1.27
United Kingdom,18:00,9.85,4.45,27.72,4.99,15.99,20.09,15.49,1.42
United Kingdom,18:10,9.12,3.85,27.02,5.29,16.55,19.96,16.88,1.32
United Kingdom,18:20,8.83,3.16,26.01,5.49,16.53,20.48,18.17,1.33
United Kingdom,18:30,7.93,2.93,26.49,5.75,15.75,21.38,18.39,1.39
United Kingdom,18:40,7.63,2.54,25.91,5.81,15.09,22.39,19.31,1.31
United Kingdom,18:50,7.39,2.43,25.55,5.82,14.29,22.66,20.52,1.34
United Kingdom,19:00,6.52,2.22,24.07,5.78,12.52,23.89,23.57,1.45
United Kingdom,19:10,6.39,1.82,22.94,5.63,12.1,24.63,25.21,1.28
United Kingdom,19:20,6.27,1.48,21.93,5.13,11.51,24.84,27.6,1.24
United Kingdom,19:30,6.06,1.33,20.04,4.67,10.78,25.07,30.83,1.22
United Kingdom,19:40,6.13,1.13,18.97,4.53,10.49,25.08,32.51,1.16
United Kingdom,19:50,6.08,0.95,18.19,4.41,11.06,25.3,32.82,1.18
United Kingdom,20:00,5.76,0.95,17.17,4.63,10.2,26.44,33.7,1.15
United Kingdom,20:10,5.71,0.94,15.9,4.49,9.44,26.45,35.9,1.16
United Kingdom,20:20,5.68,0.9,15.18,4.2,9.16,26.44,37.29,1.15
United Kingdom,20:30,5.56,0.84,14.16,4.41,8.69,26.61,38.66,1.08
United Kingdom,20:40,5.52,0.78,13.32,4.45,8.08,26.8,39.83,1.21
United Kingdom,20:50,5.42,0.69,13.23,4.93,7.98,26.26,40.55,0.96
United Kingdom,21:00,5.06,0.62,12.42,6.04,7.93,25.8,41.01,1.1
United Kingdom,21:10,5.04,0.54,11.11,6.31,8.09,25.46,42.35,1.09
United Kingdom,21:20,5.05,0.46,10.14,6.65,7.28,25.32,43.96,1.13
United Kingdom,21:30,4.79,0.5,9.45,8.23,6.74,25.13,44.06,1.11
United Kingdom,21:40,4.73,0.42,8.41,9.29,6.21,24.9,44.92,1.12
United Kingdom,21:50,4.58,0.4,8.26,14.47,6.01,24.31,40.97,1.01
United Kingdom,22:00,3.88,0.55,8.29,23.88,5.21,23.67,32.88,1.65
United Kingdom,22:10,3.76,0.44,6.78,24.8,5.5,23.88,33.32,1.53
United Kingdom,22:20,3.63,0.36,6.05,27.31,4.76,24.15,32.4,1.33
United Kingdom,22:30,3.49,0.33,5.86,33.06,4.56,22.81,28.8,1.09
United Kingdom,22:40,3.44,0.26,4.92,37.28,4.31,21.99,26.85,0.95
United Kingdom,22:50,3.43,0.24,4.23,42.2,3.81,21.54,23.7,0.84
United Kingdom,23:00,3.11,0.33,4.03,52.07,3.11,19.33,17.4,0.61
United Kingdom,23:10,2.95,0.31,3.23,56.36,2.89,18.18,15.31,0.76
United Kingdom,23:20,2.88,0.3,3,60.57,2.38,16.48,13.76,0.64
United Kingdom,23:30,2.74,0.19,2.6,66.78,2.17,13.81,11.11,0.59
United Kingdom,23:40,2.64,0.15,2.3,70.21,2.01,12.35,9.92,0.43
United Kingdom,23:50,2.52,0.14,1.89,73.93,1.67,10.92,8.56,0.37
United Kingdom,0:00,2.1,0.34,1.78,79.28,1.18,9.01,5.99,0.32
United Kingdom,0:10,2.08,0.24,1.35,82.09,1.18,7.67,5.11,0.28
United Kingdom,0:20,2,0.26,1.1,84.14,0.96,6.91,4.44,0.2
United Kingdom,0:30,1.92,0.19,0.88,86.69,0.69,5.82,3.61,0.2
United Kingdom,0:40,1.92,0.14,0.73,88.06,0.6,5.11,3.26,0.18
United Kingdom,0:50,1.9,0.11,0.79,89.26,0.51,4.59,2.65,0.19
United Kingdom,1:00,1.73,0.14,0.73,92.19,0.52,3.14,1.41,0.15
United Kingdom,1:10,1.69,0.1,0.59,92.82,0.52,2.87,1.32,0.09
United Kingdom,1:20,1.64,0.11,0.41,93.55,0.39,2.64,1.15,0.12
United Kingdom,1:30,1.6,0.09,0.38,93.98,0.35,2.49,1.01,0.09
United Kingdom,1:40,1.6,0.09,0.33,94.5,0.3,2.17,0.94,0.07
United Kingdom,1:50,1.6,0.08,0.32,94.9,0.27,1.92,0.84,0.07
United Kingdom,2:00,1.51,0.05,0.38,95.4,0.28,1.75,0.55,0.08
United Kingdom,2:10,1.53,0.03,0.36,95.63,0.27,1.62,0.45,0.11
United Kingdom,2:20,1.49,0.06,0.46,95.78,0.25,1.46,0.41,0.08
United Kingdom,2:30,1.52,0.02,0.54,96.09,0.2,1.25,0.36,0.03
United Kingdom,2:40,1.49,0.03,0.42,96.34,0.2,1.1,0.38,0.04
United Kingdom,2:50,1.48,0.04,0.51,96.54,0.17,0.92,0.29,0.04
United Kingdom,3:00,1.45,0.06,0.49,96.72,0.15,0.86,0.25,0.03
United Kingdom,3:10,1.45,0.07,0.49,96.78,0.13,0.82,0.24,0.03
United Kingdom,3:20,1.43,0.07,0.45,97.02,0.15,0.65,0.21,0.02
United Kingdom,3:30,1.39,0.06,0.34,97.27,0.13,0.6,0.18,0.03
United Kingdom,3:40,1.35,0.09,0.32,97.44,0.11,0.47,0.18,0.03
United Kingdom,3:50,1.35,0.12,0.33,97.46,0.18,0.4,0.15,0.02
